ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 04/05/2026;COBERTURA;IMPORTE AFILIADO
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 40966.68;40%;$ 24580.01
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 56858.82;40%;$ 34115.29
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 36341.62;40%;$ 21804.97
21735;candesartán cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 67091.43;60%;$ 26836.57
21733;candesartán cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 44734.32;60%;$ 17893.73
29638;candesartán+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 60381.59;50%;$ 30190.8
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1258.68;60%;$ 503.47
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 37203.35;60%;$ 14881.34
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 22540.16;60%;$ 9016.06
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1198.74;60%;$ 479.5
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 13595.38;60%;$ 5438.15
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 21751.09;60%;$ 8700.44
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5734.16;60%;$ 2293.66
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575.14;50%;$ 287.57
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882.93;50%;$ 441.47
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 10625.4;50%;$ 5312.7
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 10625.4;50%;$ 5312.7
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 19553.83;60%;$ 7821.53
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 38512.61;60%;$ 15405.04
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 62429.65;60%;$ 24971.86
24710;enzimas digestivas;CREON 10000;cáps.x 100;Abbott EPD;$ 120031.95;50%;$ 60015.98
37388;enzimas digestivas;CREON 25000;cáps.x 100;Abbott EPD;$ 199098.29;50%;$ 99549.15
37387;enzimas digestivas;CREON 25000;cáps.x 50;Abbott EPD;$ 110485.71;50%;$ 55242.86
24709;enzimas digestivas;CREON 10000;cáps.x 50;Abbott EPD;$ 66370.02;50%;$ 33185.01
45275;fenofibrato;CONTROLIP;160 mg cáps.x 30;Abbott EPD;$ 45292.8;60%;$ 18117.12
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 47202.01;50%;$ 23601.01
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489.56;50%;$ 244.78
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 32612.54;50%;$ 16306.27
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 63109.46;50%;$ 31554.73
4652;propafenona;NORMORYTMIN;150 mg comp.rec.x 20;Abbott EPD;$ 16989.4;60%;$ 6795.76
7781;propafenona;NORMORYTMIN;150 mg comp.rec.x 50;Abbott EPD;$ 36892.84;60%;$ 14757.14
4653;propafenona;NORMORYTMIN;300 mg comp.rec.x 20;Abbott EPD;$ 31887.91;60%;$ 12755.16
7783;propafenona;NORMORYTMIN;300 mg comp.rec.x 50;Abbott EPD;$ 68919.03;60%;$ 27567.61
8514;sodio,divalproato;VALCOTE;125 mg comp.x 50;Abbott EPD;$ 23863.74;80%;$ 4772.75
20089;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 100;Abbott EPD;$ 69252.25;80%;$ 13850.45
20088;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 50;Abbott EPD;$ 36163.34;80%;$ 7232.67
47171;sodio,divalproato;VALCOTE ER;250 mg comp.lib.cont.x50;Abbott EPD;$ 48325.83;80%;$ 9665.17
8518;sodio,divalproato;VALCOTE;250 mg comp.x 50;Abbott EPD;$ 40154.13;80%;$ 8030.83
29031;sodio,divalproato;VALCOTE ER;500 mg comp.lib.cont.x50;Abbott EPD;$ 85231.05;80%;$ 17046.21
8524;sodio,divalproato;VALCOTE;500 mg comp.x 50;Abbott EPD;$ 70812.67;80%;$ 14162.53
24301;sodio,divalproato;VALCOTE IV;iny.a.x 10 x 5 ml;Abbott EPD;$ 8485.24;80%;$ 1697.05
19;valproico,ác.;DEPAKENE;cáps.x 50;Abbott EPD;$ 23206.63;80%;$ 4641.33
21;valproico,ác.;DEPAKENE;jbe.x 120 ml;Abbott EPD;$ 12870.16;80%;$ 2574.03
4642;verapamilo;ISOPTINO RETARD;120 mg comp.rec.x 20;Abbott EPD;$ 23054.67;60%;$ 9221.87
2141;verapamilo;ISOPTINO MD;240 mg comp. rec.x 30;Abbott EPD;$ 53203.98;60%;$ 21281.59
20438;verapamilo;ISOPTINO;80 mg comp.rec.x 30;Abbott EPD;$ 15598.69;60%;$ 6239.48
46420;bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie;$ 44662.63;50%;$ 22331.32
28696;bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie;$ 39542.35;50%;$ 19771.18
39970;bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie;$ 43736.69;50%;$ 21868.35
52738;bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie;$ 45247.67;50%;$ 22623.84
31189;brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie;$ 35904.39;60%;$ 14361.76
19898;brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie;$ 30790.76;60%;$ 12316.3
37917;brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie;$ 39373.84;50%;$ 19686.92
56822;carboximetilcelulosa sód.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie;$ 26668.06;50%;$ 13334.03
51569;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie;$ 5084.83;50%;$ 2542.42
51599;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie;$ 5223.66;50%;$ 2611.83
37918;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie;$ 18170.76;50%;$ 9085.38
23975;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie;$ 25961.06;50%;$ 12980.53
32902;carboximetilcelulosa sódica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie;$ 24779.55;50%;$ 12389.78
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie;$ 53778.36;60%;$ 21511.34
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie;$ 20563.71;50%;$ 10281.86
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie;$ 13662.32;50%;$ 6831.16
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie;$ 2199.19;50%;$ 1099.6
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie;$ 34254.07;80%;$ 6850.81
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie;$ 42046.49;80%;$ 8409.3
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie;$ 52448.13;50%;$ 26224.07
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie;$ 21077.3;50%;$ 10538.65
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie;$ 27696.13;50%;$ 13848.07
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie;$ 21566.71;50%;$ 10783.36
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie;$ 17975.12;50%;$ 8987.56
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie;$ 1118.2;50%;$ 559.1
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie;$ 537.19;60%;$ 214.88
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie;$ 1674.46;60%;$ 669.78
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie;$ 2359.35;80%;$ 471.87
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie;$ 36028.62;80%;$ 7205.72
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie;$ 468.44;60%;$ 187.38
11964;aceite de salmón;REGULIP;1 g cáps.x 60;Adium;$ 68072.95;40%;$ 40843.77
34244;aceite de salmón;REGULIP;1 g cáps.x 90;Adium;$ 99107.11;40%;$ 59464.27
58150;aripiprazol;ARIZIC;10 mg comp.rec.x 30;Adium;$ 30598.94;50%;$ 15299.47
58148;aripiprazol;ARIZIC;15 mg comp.rec.x 30;Adium;$ 44885.76;50%;$ 22442.88
58151;aripiprazol;ARIZIC;20 mg comp.rec.x 30;Adium;$ 54678.84;50%;$ 27339.42
58149;aripiprazol;ARIZIC;5 mg comp.rec.x 30;Adium;$ 27734.1;50%;$ 13867.05
22369;atorvastatín;LIPIFEN;10 mg comp.x 30;Adium;$ 39604.21;60%;$ 15841.68
22370;atorvastatín;LIPIFEN;20 mg comp.x 30;Adium;$ 65636.22;60%;$ 26254.49
50267;atorvastatín;LIPIFEN;40 mg comp.x 30;Adium;$ 76709.3;60%;$ 30683.72
40014;atorvastatín+ezetimibe;COLMIBE;10/10 mg comp.x 30;Adium;$ 43990.68;50%;$ 21995.34
40015;atorvastatín+ezetimibe;COLMIBE;20/10 mg comp.x 30;Adium;$ 61746.38;50%;$ 30873.19
50193;atorvastatín+ezetimibe;COLMIBE;40/10 mg comp.x 30;Adium;$ 76584.5;50%;$ 38292.25
61001;buprenorfina;BUPRIVA;10 mg parche x 1;Adium;$ 47954.63;50%;$ 23977.32
61002;buprenorfina;BUPRIVA;20 mg parche x 1;Adium;$ 58196.23;50%;$ 29098.12
61000;buprenorfina;BUPRIVA;5 mg parche x 1;Adium;$ 37013.31;50%;$ 18506.66
23483;bupropión;ODRANAL;150mg comp.lib.prol.x 30;Adium;$ 82622.77;40%;$ 49573.66
26876;bupropión;ODRANAL;150mg comp.lib.prol.x 60;Adium;$ 149708.48;40%;$ 89825.09
51689;ciclobenzaprina;MITRUL;15 mg cáps.x 10;Adium;$ 30311.47;50%;$ 15155.74
24913;clindamicina;TORGYN;100 mg ov.vag.x 7;Adium;$ 18380.52;60%;$ 7352.21
30481;clindamicina;TORGYN;100 mg óv.vag.x 3;Adium;$ 13508.85;60%;$ 5403.54
35664;clindamicina+ketoconazol;TORGYN DUO;cáps.blandas vag.x 7;Adium;$ 23614.51;50%;$ 11807.26
33881;clopidogrel;NABRATIN;75 mg comp.rec.x 30;Adium;$ 70122.96;50%;$ 35061.48
46775;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 30;Adium;$ 76613.54;40%;$ 45968.12
46776;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 60;Adium;$ 117162.56;40%;$ 70297.54
46779;condroitín,sulfato+glucosamina;ASOTREX;sob.x 30;Adium;$ 148967.74;40%;$ 89380.64
60620;dapagliflozina;FANTER;10 mg comp. x 30;Adium;$ 74009.39;100%;$ 0
47882;desvenlafaxina;FAPRIS;100mg comp.rec.lib.prx30;Adium;$ 64788.05;50%;$ 32394.03
47881;desvenlafaxina;FAPRIS;50mg comp.rec.lib.pr.x30;Adium;$ 35304.05;50%;$ 17652.03
50100;dexlansoprazol;APATRIX 60;cáps. x 30;Adium;$ 59690.8;40%;$ 35814.48
50098;dexlansoprazol;APATRIX 30;cáps. x 30;Adium;$ 41957.68;40%;$ 25174.61
22035;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 15;Adium;$ 24671.44;40%;$ 14802.86
22036;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 30;Adium;$ 52207.5;40%;$ 31324.5
52261;dutasteride+tamsulosina;REDUPROST DUO;cáps.duras x 30;Adium;$ 70079.12;50%;$ 35039.56
30743;estradiol;PROGYNOVA;2 mg comp.x 28;Adium;$ 14071.82;50%;$ 7035.91
53870;etoricoxib;XUMER;120 mg comp.rec.x 7;Adium;$ 18167.95;50%;$ 9083.98
61641;etoricoxib;XUMER CB;120 mg cáps. bl. x 7;Adium;$ 12911.11;50%;$ 6455.56
53866;etoricoxib;XUMER;60 mg comp.rec.x 14;Adium;$ 18520.73;50%;$ 9260.37
53867;etoricoxib;XUMER;60 mg comp.rec.x 28;Adium;$ 37522.15;50%;$ 18761.08
61637;etoricoxib;XUMER CB;60 mg cáps. bl. x 14;Adium;$ 16947.18;50%;$ 8473.59
61638;etoricoxib;XUMER CB;60 mg cáps. bl. x 28;Adium;$ 33944.15;50%;$ 16972.08
53868;etoricoxib;XUMER;90 mg comp.rec.x 14;Adium;$ 30720.28;50%;$ 15360.14
53869;etoricoxib;XUMER;90 mg comp.rec.x 28;Adium;$ 46481.88;50%;$ 23240.94
61639;etoricoxib;XUMER CB;90 mg cáps. bl. x 14;Adium;$ 24300.66;50%;$ 12150.33
61640;etoricoxib;XUMER CB;90 mg cáps. bl. x 28;Adium;$ 42121.85;50%;$ 21060.93
37344;ezetimibe+simvastatin;REDUSTEROL DUO;10/10 mg comp.x 30;Adium;$ 27370.37;50%;$ 13685.19
37345;ezetimibe+simvastatin;REDUSTEROL DUO;10/20 mg comp.x 30;Adium;$ 27370.37;50%;$ 13685.19
37346;ezetimibe+simvastatin;REDUSTEROL DUO;10/40 mg comp.x 30;Adium;$ 43945.07;50%;$ 21972.54
10665;fluconazol;MUTUM;100 mg comp.x 15;Adium;$ 102293.31;50%;$ 51146.66
16364;fluconazol;MUTUM;150 mg comp.x 1;Adium;$ 9374.91;50%;$ 4687.46
16365;fluconazol;MUTUM;150 mg comp.x 2;Adium;$ 18343.05;50%;$ 9171.53
23526;fluconazol;MUTUM;150 mg comp.x 4;Adium;$ 32347.97;50%;$ 16173.99
43799;fluconazol;MUTUM;150 mg comp.x 8;Adium;$ 56278.84;50%;$ 28139.42
11746;fluconazol;MUTUM;200 mg comp.x 10;Adium;$ 115305.06;50%;$ 57652.53
11963;fluconazol;MUTUM;200 mg comp.x 30;Adium;$ 294152.79;50%;$ 147076.4
32631;gabapentin;ULTRANEURAL;100 mg comp.x 30;Adium;$ 19810.48;60%;$ 7924.19
32630;gabapentin;ULTRANEURAL;300 mg comp.x 30;Adium;$ 35917.71;60%;$ 14367.08
34457;gabapentin;ULTRANEURAL;300 mg comp.x 60;Adium;$ 64167.52;60%;$ 25667.01
32633;gabapentin;ULTRANEURAL;600 mg comp.x 30;Adium;$ 45232.91;60%;$ 18093.16
11671;glibenclamida;GARDOTON;comp.x 30;Adium;$ 5190.9;100%;$ 0
11672;glibenclamida;GARDOTON;comp.x 60;Adium;$ 10296.17;100%;$ 0
56914;glucosamina;ASOTREX GL;sob.x 15;Adium;$ 20090.28;40%;$ 12054.17
56916;glucosamina;ASOTREX GL;sob.x 30;Adium;$ 56162.01;40%;$ 33697.21
38252;ibandrónico,ác.;IDENA;150 mg comp.rec.x 1;Adium;$ 43400.85;50%;$ 21700.43
40004;ibandrónico,ác.;IDENA;150 mg comp.rec.x 2;Adium;$ 69565.14;50%;$ 34782.57
43911;ins.lispro+ins.lispro protamina;INSULINA HUMALOG MIX 25 KWIKPEN;lap.aplic.desc.x 5 x 3ml;Adium;$ 233054.52;100%;$ 0
59724;insaponificables;CLEDIUM;cáps. x 30;Adium;$ 40859.98;40%;$ 24515.99
55810;insulina glargina;INSULINA BASAGLAR KWIKPEN;100U/ml iny.prell.x5x3ml;Adium;$ 230891.64;100%;$ 0
43910;insulina lispro;INSULINA HUMALOG KWIKPEN;lap.aplic.desc.x 5 x 3ml;Adium;$ 233054.52;100%;$ 0
8268;isoxsuprina;DUVADILAN;10 mg comp.x 20;Adium;$ 24978.82;50%;$ 12489.41
46447;lacosamida;LACOTEM;100 mg comp.rec.x 30;Adium;$ 109752.03;50%;$ 54876.02
47376;lacosamida;LACOTEM;150 mg comp.rec.x 30;Adium;$ 148384.67;50%;$ 74192.34
47377;lacosamida;LACOTEM;200 mg comp.rec.x 30;Adium;$ 197845.62;50%;$ 98922.81
46446;lacosamida;LACOTEM;50 mg comp.rec.x 30;Adium;$ 51730.75;50%;$ 25865.38
48499;levetiracetam;LEVAXON;1000 mg comp.x 30;Adium;$ 161617.19;50%;$ 80808.6
48497;levetiracetam;LEVAXON;500 mg comp.x 20;Adium;$ 54943.59;50%;$ 27471.8
48498;levetiracetam;LEVAXON;500 mg comp.x 60;Adium;$ 154221.65;50%;$ 77110.83
42077;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 14;Adium;$ 30123.03;60%;$ 12049.21
33882;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 7;Adium;$ 18917.31;60%;$ 7566.92
38087;levofloxacina;UNIFLOX 750;750 mg comp.rec.x 5;Adium;$ 21708.58;60%;$ 8683.43
8262;levonorgestrel+estradiol;CICLOCUR;blist.grag.x 21;Adium;$ 15816.39;50%;$ 7908.2
8288;levonorgestrel+etinilestradiol;MICROGYNON;blist.grag.x 21;Adium;$ 8473.06;50%;$ 4236.53
8317;levonorgestrel+etinilestradiol;TRIQUILAR;blist.grag.x 21;Adium;$ 9179.18;50%;$ 4589.59
13698;levonorgestrel+etinilestradiol;MICROVLAR;grag.x 21;Adium;$ 5966.83;50%;$ 2983.42
18517;meloxicam;FLEXIDOL;15 mg comp.ran.x 10;Adium;$ 13266.32;40%;$ 7959.79
20354;meloxicam;FLEXIDOL;15 mg comp.ran.x 20;Adium;$ 26057.93;40%;$ 15634.76
18518;meloxicam;FLEXIDOL;15 mg comp.ran.x 30;Adium;$ 37871.63;40%;$ 22722.98
53871;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 10;Adium;$ 14222.61;40%;$ 8533.57
53872;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 20;Adium;$ 27822.07;40%;$ 16693.24
38085;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 10;Adium;$ 14927.61;40%;$ 8956.57
38086;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 20;Adium;$ 29280.39;40%;$ 17568.23
29028;mirtazapina;COMENTER;30 mg comp.x 30;Adium;$ 44202.82;50%;$ 22101.41
45009;nebivolol;NABILA;10 mg comp.x 28;Adium;$ 38782.44;50%;$ 19391.22
45008;nebivolol;NABILA;2.5 mg comp.x 28;Adium;$ 9380.51;50%;$ 4690.26
42275;nebivolol;NABILA;5 mg comp.x 28;Adium;$ 19974.51;50%;$ 9987.26
59378;nebivolol+hidroclorotiazida;NABILA D;5/12.5 mg comp.rec.x 28;Adium;$ 23465.73;50%;$ 11732.87
17442;nimodipina;NIVAS;30 mg comp.rec.x 30;Adium;$ 13070.07;50%;$ 6535.04
17443;nimodipina;NIVAS;30 mg comp.rec.x 60;Adium;$ 21737.86;50%;$ 10868.93
12529;nimodipina;NIVAS FORTE;60 mg comp.rec.x 30;Adium;$ 21326.51;50%;$ 10663.26
12530;nimodipina;NIVAS FORTE;60 mg comp.rec.x 60;Adium;$ 35667.17;50%;$ 17833.59
21021;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 30;Adium;$ 27596.37;50%;$ 13798.19
21022;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 60;Adium;$ 49074.95;50%;$ 24537.48
51317;noretisterona;PRIMOLUT NOR;10 mg blíst.comp.x 20;Adium;$ 30515.05;50%;$ 15257.53
8305;noretisterona+etinilestradiol;PRIMOSISTON;comp.x 30;Adium;$ 12015.85;50%;$ 6007.93
11665;oxibutinina;DELAK;comp.x 20;Adium;$ 13442.12;50%;$ 6721.06
23094;oxibutinina;DELAK;comp.x 30;Adium;$ 18790.45;50%;$ 9395.23
23095;oxibutinina;DELAK;comp.x 60;Adium;$ 36111.1;50%;$ 18055.55
9360;pancreatina+dimetilpolisiloxano;PANKREOFLAT AD;comp.rec.x 50;Adium;$ 22373.13;50%;$ 11186.57
23256;pantoprazol;PANTOP;IV iny.x 1;Adium;$ 794.82;40%;$ 476.89
31760;paracetamol;PARACETAMOL RAFFO 1 G;comp.ran.x 10;Adium;$ 7580.56;40%;$ 4548.34
49154;pregabalina;PREBICTAL;100 mg cáps.x 28;Adium;$ 63301.35;50%;$ 31650.68
44478;pregabalina;PREBICTAL;150 mg cáps.x 28;Adium;$ 67429.12;50%;$ 33714.56
51662;pregabalina;PREBICTAL;25 mg cáps.x 28;Adium;$ 15072.68;50%;$ 7536.34
49153;pregabalina;PREBICTAL;50 mg cáps.x 28;Adium;$ 36177.17;50%;$ 18088.59
61409;pregabalina;PREBICTAL 75 MULTIDOSIS;75 mg comp. birran. x 15;Adium;$ 19541.69;50%;$ 9770.85
61410;pregabalina;PREBICTAL 75 MULTIDOSIS;75 mg comp. birran. x 30;Adium;$ 40358.57;50%;$ 20179.29
44477;pregabalina;PREBICTAL;75 mg cáps.x 28;Adium;$ 42672.9;50%;$ 21336.45
37351;quetiapina;QUETIAZIC;100 mg comp.x 30;Adium;$ 97642.33;50%;$ 48821.17
45449;quetiapina;QUETIAZIC;100 mg comp.x 60;Adium;$ 154230.97;50%;$ 77115.49
37352;quetiapina;QUETIAZIC;200 mg comp.x 30;Adium;$ 125419.14;50%;$ 62709.57
45452;quetiapina;QUETIAZIC;200 mg comp.x 60;Adium;$ 202956.35;50%;$ 101478.18
48928;quetiapina;QUETIAZIC XR;200mg comp.acc.prol.x 30;Adium;$ 125888.02;50%;$ 62944.01
37804;quetiapina;QUETIAZIC;25 mg comp.x 30;Adium;$ 59648.56;50%;$ 29824.28
45448;quetiapina;QUETIAZIC;25 mg comp.x 60;Adium;$ 92903.46;50%;$ 46451.73
46321;quetiapina;QUETIAZIC;300 mg comp.x 30;Adium;$ 143204.73;50%;$ 71602.37
48929;quetiapina;QUETIAZIC XR;300mg comp.acc.prol.x 30;Adium;$ 170891.88;50%;$ 85445.94
48930;quetiapina;QUETIAZIC XR;400mg comp.acc.prol.x 30;Adium;$ 256951.43;50%;$ 128475.72
48927;quetiapina;QUETIAZIC XR;50 mg comp.acc.prol.x 30;Adium;$ 122142.75;50%;$ 61071.38
36613;risperidona;DOZIC;0.5 mg comp.ran.x 20;Adium;$ 8459.66;50%;$ 4229.83
30965;risperidona;DOZIC;1 mg comp.ran.x 20;Adium;$ 13969.87;50%;$ 6984.94
32777;risperidona;DOZIC;1 mg comp.ran.x 60;Adium;$ 29917.95;50%;$ 14958.98
30966;risperidona;DOZIC;2 mg comp.ran.x 20;Adium;$ 27715.52;50%;$ 13857.76
32778;risperidona;DOZIC;2 mg comp.ran.x 60;Adium;$ 77823.05;50%;$ 38911.53
30967;risperidona;DOZIC;3 mg comp.ran.x 20;Adium;$ 36226.21;50%;$ 18113.11
32779;risperidona;DOZIC;3 mg comp.ran.x 60;Adium;$ 107078.41;50%;$ 53539.21
57784;rivaroxabán;XAROBAN;10 mg x 10 comp.rec.;Adium;$ 53651.47;50%;$ 26825.74
57785;rivaroxabán;XAROBAN;10 mg x 30 comp.rec.;Adium;$ 108285.2;50%;$ 54142.6
57780;rivaroxabán;XAROBAN;15 mg x 15 comp.rec.;Adium;$ 58547.44;50%;$ 29273.72
57781;rivaroxabán;XAROBAN;15 mg x 30 comp.rec.;Adium;$ 107706.51;50%;$ 53853.26
57778;rivaroxabán;XAROBAN;2.5 mg x 30 comp.rec.;Adium;$ 62335.01;50%;$ 31167.51
57779;rivaroxabán;XAROBAN;2.5 mg x 60 comp.rec;Adium;$ 118468.64;50%;$ 59234.32
57782;rivaroxabán;XAROBAN;20 mg x 15 comp.rec.;Adium;$ 58943.18;50%;$ 29471.59
57783;rivaroxabán;XAROBAN;20 mg x 30 comp.rec.;Adium;$ 112734.98;50%;$ 56367.49
56218;rivastigmina;REMIZERAL PARCHES;13.3 mg parches x 30;Adium;$ 102232.28;50%;$ 51116.14
56216;rivastigmina;REMIZERAL PARCHES;4.6 mg parches x 30;Adium;$ 93979.78;50%;$ 46989.89
56217;rivastigmina;REMIZERAL PARCHES;9.5 mg parches x 30;Adium;$ 93979.78;50%;$ 46989.89
59530;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 30;Adium;$ 97915.55;50%;$ 48957.78
59531;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 60;Adium;$ 191613.35;50%;$ 95806.68
59532;sacubitrilo+valsartán;DUPERTAN;200 mg comp.rec.x 60;Adium;$ 207064.55;50%;$ 103532.28
59529;sacubitrilo+valsartán;DUPERTAN;50 mg comp.rec.x 30;Adium;$ 92627.27;50%;$ 46313.64
41636;sertralina;ATENIX;100 mg comp.ran.x 30;Adium;$ 51166.45;50%;$ 25583.23
26875;sertralina;ATENIX;25 mg comp.ran.x 30;Adium;$ 11316.43;50%;$ 5658.22
19916;sertralina;ATENIX;50 mg comp.ran.x 30;Adium;$ 31050.43;50%;$ 15525.22
20681;sertralina;ATENIX;50 mg comp.ran.x 60;Adium;$ 50983.18;50%;$ 25491.59
13164;simvastatin;REDUSTEROL;10 mg comp.x 30;Adium;$ 27532.21;60%;$ 11012.88
14602;simvastatin;REDUSTEROL;20 mg comp.x 30;Adium;$ 34885.87;60%;$ 13954.35
15214;simvastatin;REDUSTEROL;40 mg comp.x 30;Adium;$ 31468.64;60%;$ 12587.46
22374;tamsulosina;REDUPROST;0.4 mg cáps.x 30;Adium;$ 45353.91;50%;$ 22676.96
43795;tamsulosina;REDUPROST;0.4 mg cáps.x 60;Adium;$ 75328.68;50%;$ 37664.34
59607;terbinafina;LIKANA;250 mg comp.x 14;Adium;$ 18136.75;50%;$ 9068.38
59608;terbinafina;LIKANA;250 mg comp.x 28;Adium;$ 40848.54;50%;$ 20424.27
32776;topiramato;TOPICTAL;100 mg comp.rec.x 28;Adium;$ 57218.48;80%;$ 11443.7
41288;topiramato;TOPICTAL;100 mg comp.rec.x 56;Adium;$ 108866.17;80%;$ 21773.23
32774;topiramato;TOPICTAL;25 mg comp.rec.x 28;Adium;$ 19260.38;80%;$ 3852.08
41286;topiramato;TOPICTAL;25 mg comp.rec.x 56;Adium;$ 34659.31;80%;$ 6931.86
32775;topiramato;TOPICTAL;50 mg comp.rec.x 28;Adium;$ 36979.1;80%;$ 7395.82
41287;topiramato;TOPICTAL;50 mg comp.rec.x 56;Adium;$ 71224.3;80%;$ 14244.86
57555;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 10 ml;Adium;$ 20382.18;50%;$ 10191.09
57556;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 20 ml;Adium;$ 32457.08;50%;$ 16228.54
57552;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 10;Adium;$ 9487.06;50%;$ 4743.53
57553;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 20;Adium;$ 18974.21;50%;$ 9487.11
57554;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 30;Adium;$ 26631.23;50%;$ 13315.62
