NOMBRE,DROGA,PRESENTACION,LABORATORIO,FORMA,VIA,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED
ASTENDE,rosuvastatina,10 mg comp.rec.x 30,Lazar,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5337973,427701000221109
ASTENDE,rosuvastatina,20 mg comp.rec.x 30,Lazar,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5338003,427721000221102
ASTENDE,rosuvastatina,40 mg comp.rec.x 30,Lazar,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5338131,429011000221104
ASTRILUGE,"salicílico,ác.+mandélico,ác.",loc.x 190 ml,Valuge,Solución de uso externo/Loción,uso externo,Venta Libre,Astringente, , 
ASTRODIL,"abiraterona,acetato",comp.x 120,Teva Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antineoplásico,6447841,232051000221105
ASTROGLIDE,producto cosmético,liquid x 74 ml,Combe,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Lubricante, , 
ASTROGLIDE GEL,producto cosmético,ultra gentle gel x 85 ml,Combe,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Lubricante, , 
ASTROGLIDE GEL,producto cosmético,gel x 113 ml,Combe,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Lubricante, , 
ASULBLAN,amiodarona,150 mg a.x 25 x 3 ml,Fada Pharma,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Antiarrítmico, ,509051000221104
ASUMLEA,denosumab,60 mg/ml jga.prell.x 1,Elea,Jeringa prellenada,inyectable IM/SC,Venta Bajo Receta,Antiosteoporótico,6763131, 
AT III KEDRION 1000 U.I.,antitrombina III,f.a.1000UI + set.inf.,Biofactor,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Anticoagulante,5984711,261071000221101
AT III KEDRION 500 U.I.,antitrombina III,f.a.500UI + set.inf.,Biofactor,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Anticoagulante,5984841,261081000221103
ATACAND,candesartán cilexetil,8 mg comp.divis.x 28,Biopas Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,4345062,248351000221105
ATACAND,candesartán cilexetil,16 mg comp.divis.x 28,Biopas Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,4345142,247821000221105
ATACAND,candesartán cilexetil,32 mg comp.divis.x 28,Biopas Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,5433712,247831000221108
ATARAXONE,hidroxicina,50 mg comp.rec.x 20,Lazar,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antihistamínico,2951221,97681000221105
ATARAXONE,hidroxicina,gts.x 20 ml,Lazar,Gotas orales,oral,Venta Bajo Receta Archivada,Antihistamínico,2951482,261101000221108
ATARAXONE,hidroxicina,jbe.x 120 ml,Lazar,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Bajo Receta Archivada,Antihistamínico,2951561,261091000221100
ATARAXONE,hidroxicina,10 mg comp.rec.x 20,Lazar,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antihistamínico,2951061,100951000221104
ATARAXONE,hidroxicina,25 mg comp.rec.x 20,Lazar,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antihistamínico,2951141,100971000221106
ATARVA,atorvastatín,10 mg comp.rec.x 30,Duncan,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5077473,111481000221108
ATARVA,atorvastatín,20 mg comp.rec.x 30,Duncan,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5077313,111041000221108
ATEL,atenolol,50 mg comp.x 30,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,4243671, 
ATELSTA,atenolol,25 mg comp.x 30,Ronnet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,5290681,429671000221100
ATELSTA,atenolol,50 mg comp.x 30,Ronnet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,5290731,429691000221104
ATELSTA,atenolol,100 mg comp.x 30,Ronnet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,5290891,429831000221104
ATELSTA,atenolol,25 mg comp.x 60,Ronnet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,5290682,429821000221102
ATELSTA,atenolol,50 mg comp.x 60,Ronnet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,5290732, 
ATELSTA,atenolol,100 mg comp.x 60,Ronnet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,5290892,429841000221106
ATEMPERATOR,bromazepam,3 mg comp.x 30,Teva Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Ansiolítico,2785083,105201000221103
ATEMPERATOR,bromazepam,6 mg comp.x 30,Teva Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Ansiolítico,2784913,190891000221104
ATEMPERATOR,bromazepam,3 mg comp.x 60,Teva Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Ansiolítico,2785084,147461000221103
ATEMPERATOR,bromazepam,6 mg comp.x 60,Teva Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Ansiolítico,2784914,190901000221100
ATENIX,sertralina,25 mg comp.ran.x 30,Raffo,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antidepresivo,4695111,212401000221107
ATENIX,sertralina,50 mg comp.ran.x 30,Raffo,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antidepresivo,3607432,141651000221105
ATENIX,sertralina,100 mg comp.ran.x 30,Raffo,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antidepresivo,3607512,141681000221100
ATENIX,sertralina,50 mg comp.ran.x 60,Raffo,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antidepresivo,3607434,141661000221107
ATENOBLOCK,atenolol,50 mg comp.x 30,Klonal,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,4375503,197851000221108
ATENOLOL ECZANE,atenolol,50 mg comp.x 28,Eczane,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,6502841,352641000221109
ATENOLOL ECZANE,atenolol,100 mg comp.x 28,Eczane,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,6502711,372471000221104
ATENOLOL ECZANE,atenolol,50 mg comp.x 490(EH),Eczane,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo, ,372421000221100
ATENOLOL GADOR,atenolol,25 mg comp.x 28,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,3982732,216361000221104
ATENOLOL GADOR,atenolol,50 mg comp.x 28,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,349262,166941000221103
ATENOLOL GADOR,atenolol,100 mg comp.x 28,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,347942,166921000221107
ATENOLOL GADOR,atenolol,25 mg comp.x 30,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,3982737,216341000221103
ATENOLOL GADOR,atenolol,50 mg comp.x 30,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,349267,216381000221106
ATENOLOL GADOR,atenolol,100 mg comp.x 30,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,347947,216401000221106
ATENOLOL GADOR,atenolol,25 mg comp.x 56,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,3982733,216371000221108
ATENOLOL GADOR,atenolol,50 mg comp.x 56,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,349266,166951000221101
ATENOLOL GADOR,atenolol,100 mg comp.x 56,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,347946,166911000221102
ATENOLOL GADOR,atenolol,25 mg comp.x 60,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,3982738,216351000221101
ATENOLOL GADOR,atenolol,50 mg comp.x 60,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,349268,216391000221109
ATENOLOL GADOR,atenolol,100 mg comp.x 60,Gador,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,347948,216411000221109
ATENOLOL MICROSULES,atenolol,50 mg comp.x 30,Microsules Arg.,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,3793566, 
ATENOLOL MICROSULES,atenolol,50 mg comp.x 60,Microsules Arg.,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,3793565, 
ATENOLOL VANNIER,atenolol,50 mg comp.x 30,Vannier,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antihipertensivo,4018103, 
ATENTTO,"eicosapentanoico,ác.+asoc.",sobres x 30,Roemmers,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Libre,Trat.déficit atenc/hiperac(ADHD), , 
ATEROCLAR,atorvastatín,10 mg comp.rec.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,4426581,131471000221100
ATEROCLAR,atorvastatín,20 mg comp.rec.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,4426661,131501000221109
ATEROCLAR,atorvastatín,40 mg comp.rec.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,4426741,131521000221102
ATEROCLAR COMBI,atorvastatín+ezetimibe,10/10 mg comp.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5735682,242731000221100
