NOMBRE,DROGA,PRESENTACION,LABORATORIO,FORMA,VIA,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED
ATORVASTAN,atorvastatín,10 mg comp.rec.x 30,Biotenk,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,4841713,111871000221107
ATORVASTAN,atorvastatín,20 mg comp.rec.x 30,Biotenk,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,4841893,111911000221105
ATORVASTATIN RICHET,atorvastatín,10 mg comp.rec.x 30,Richet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5308711,170061000221106
ATORVASTATIN RICHET,atorvastatín,20 mg comp.rec.x 30,Richet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5308841,140271000221109
ATORVASTATIN RICHET,atorvastatín,40 mg comp.rec.x 30,Richet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5308971,140251000221102
ATORVASTATIN RICHET,atorvastatín,10 mg comp.rec.x 60,Richet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5308712,170051000221109
ATORVASTATIN RICHET,atorvastatín,20 mg comp.rec.x 60,Richet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5308842,210721000221108
ATORVASTATINA FABRA,atorvastatín,10 mg comp.x 30,Fabra,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5752134,151851000221109
ATORVASTATINA FABRA,atorvastatín,20 mg comp.x 30,Fabra,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5752264,199661000221104
ATORVAX,atorvastatín,10 mg comp.rec.x 30,Rospaw,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5986551,463471000221106
