NOMBRE,DROGA,PRESENTACION,LABORATORIO,PRECIO,PRECIOPAMI,FORMA,VIA,POTENCIA,UPOTENCIA,UNIDADES,TIPOUNIDAD,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED,GTIN1,C_BARRA,IMPORTADO,D_MARCA_CONTROLADO
DEBRIL,naproxeno,500 mg comp.x 20,Monserrat,28900,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Analgésico Antiinflam.,5647422,208341000221104,07795334167125,7795334167125,Nacional,NO CONTROLADO
DECA-DURABOLIN,nandrolona,50 mg iny.a.x 1 x 1 ml,Aspen Pharma,58597,19333,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM,,mg/ml,1,unidades de 1 ml,Venta Bajo Receta,Anabólico,759201,271161000221103,07798333230135,7795318000035,Nacional,NO CONTROLADO
DECA-SCAB,"permetrina+bencilo,benzoato",emuls.x 100 ml,Lafedar,17263,0,Emulsiones/Leches de Limpieza,uso externo,,No Clasificada,1,unidades de 100 ml,Venta Bajo Receta,Antiparasitario externo,6464971,323951000221106,07798021297327,7798021297327,Nacional,NO CONTROLADO
DECA-SCAB,"permetrina+bencilo,benzoato",loc.x 100 ml,Lafedar,20419,0,Solución de uso externo/Loción,uso externo,,No Clasificada,1,unidades de 100 ml,Venta Bajo Receta,Antiparasitario externo,6464841,325241000221100,07798021297310,7798021297310,Nacional,NO CONTROLADO
DECADRON,dexametasona,4mg/ml f.a.x2ml+jga.desc,Sidus,22728,17904,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM/IV,,mg/ml,1,unidades de 2 ml,Venta Bajo Receta,Corticosteroide,674562,271211000221109,07795356001315,7795356001315,Nacional,NO CONTROLADO
DECADRON,dexametasona,shock 20 mg f.a.x 5 ml,Sidus,29382,17537,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,,mg/ml,1,unidades de 5 ml,Venta Bajo Receta,Corticosteroide,2291971,271221000221104,07795356911607,7795356911607,Nacional,NO CONTROLADO
DECADRON,dexametasona,4 mg comp.x 10,Sidus,11098,7742,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,10,unidades,Venta Bajo Receta,Corticosteroide,6763841, ,7795356002831,7795356002831,Nacional,NO CONTROLADO
DECADRON,dexametasona,8 mg comp.x 10,Sidus,23447,13194,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,10,unidades,Venta Bajo Receta,Corticosteroide,6763971, ,7795356002855,7795356002855,Nacional,NO CONTROLADO
DECADRON,dexametasona,4 mg comp.x 20,Sidus,21102,13167,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Corticosteroide,6763842, ,7795356002848,7795356002848,Nacional,NO CONTROLADO
DECADRON,dexametasona,0.5 mg comp.x 30,Sidus,30024,18958,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Corticosteroide,674226,101021000221101,07795356001162,7795356001162,Nacional,NO CONTROLADO
DECADRON AL,dexametasona,8mg/ml f.a.x1 x 2ml+jga.,Sidus,16821,9907,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM,,mg/ml,1,unidades de 2 ml,Venta Bajo Receta,Corticosteroide,1591961,271171000221107,07795356911805,7795356911805,Nacional,NO CONTROLADO
DECAPEPTYL RETARD,triptorelina,3.75mg IM Mensual kit x1,Raffo,1125040,0,Kit,inyectable IM,,mg,1,unidades,Venta Bajo Receta,Agonista LHRH,3766831,271241000221108,07798084683433,7798084683433,Importado,NO CONTROLADO
DECAPEPTYL RETARD,triptorelina,11.25mg IM trimest.kitx1,Raffo,3037619,0,Kit,inyectable IM,,mg,1,unidades,Venta Bajo Receta,Agonista LHRH,4544131,271231000221101,07798084683440,7795362001286,Importado,NO CONTROLADO
DECAPEPTYL RETARD,triptorelina,22.5mg IM semest.kitx1,Raffo,4860191,0,Kit,inyectable IM,,mg,1,unidades,Venta Bajo Receta,Agonista LHRH,6337681, ,07730766001036,7730766001036,Nacional,NO CONTROLADO
DECIDEX,clorfeniramina+asoc.,sol.x 100 ml,Roemmers,8042,0,Jarabe/Suspensión oral/Polvo para uso oral,oral,,No Clasificada,1,unidades de 100 ml,Venta Bajo Receta,Descongestivo,2424542,271261000221107,07795345007144,7795345007144,Nacional,NO CONTROLADO
DECIDEX,clorfeniramina+asoc.,gts.x 30 ml,Roemmers,10233,0,Gotas orales,oral,,No Clasificada,1,unidades de 30 ml,Venta Bajo Receta,Descongestivo,2424622,271251000221105,07795345007120,7795345007120,Nacional,NO CONTROLADO
DECIDEX,clorfeniramina+asoc.,cáps.x 10,Roemmers,6903,0,Cápsulas/Softgels,oral,,No Clasificada,10,unidades,Venta Bajo Receta,Descongestivo,2130092,213441000221101,07795345000589,7795345000589,Nacional,NO CONTROLADO
DECIDEX COMPUESTO,paracetamol+clorfeniramina+asoc.,gts.x 30 ml,Roemmers,7841,0,Gotas orales,oral,,No Clasificada,1,unidades de 30 ml,Venta Bajo Receta,Analgésico Descongestivo,2806862,271271000221103,07795345004549,7795345004549,Nacional,NO CONTROLADO
DECIDEX COMPUESTO,paracetamol+clorfeniramina+asoc.,sol.x 100 ml,Roemmers,9647,0,Jarabe/Suspensión oral/Polvo para uso oral,oral,,No Clasificada,1,unidades de 100 ml,Venta Bajo Receta,Analgésico Descongestivo,2806942,271281000221100,07795345004563,7795345004563,Nacional,NO CONTROLADO
DECIDEX COMPUESTO,paracetamol+clorfeniramina+asoc.,cáps.x 10,Roemmers,6620,0,Cápsulas/Softgels,oral,,No Clasificada,10,unidades,Venta Bajo Receta,Analgésico Descongestivo,2806781,238781000221100,07795345004525,7795345004525,Nacional,NO CONTROLADO
DECIDEX COMPUESTO GRIP,paracetamol+clorfeniramina+asoc.,comp.rec.x 10,Roemmers,5568,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,10,unidades,Venta Bajo Receta,Analgésico Descongestivo,6367422,223221000221101,07795345002842,7795345002842,Nacional,NO CONTROLADO
